item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mix_prob,fp_margin,increment_selection_role,increment_rank,increment_pool_size,increment_reference_field,increment_reference_value
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Blank Space#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Blank Space\Control_Group\0001.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Blank Space/Control_Group/0001.wav,English,EN-Tenor-1,Blank Space,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.928361,0.503361,hard_negative,27,96,mix_prob,0.928361
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Blank Space#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Blank Space\Control_Group\0000.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Blank Space/Control_Group/0000.wav,English,EN-Tenor-1,Blank Space,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.928009,0.503009,hard_negative,28,96,mix_prob,0.928009
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Young and Beautiful\Falsetto_Group\0001.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Falsetto_Group/0001.wav,English,EN-Tenor-1,Young and Beautiful,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.927403,0.502403,hard_negative,29,96,mix_prob,0.927403
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Exile#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Exile\Control_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Exile/Control_Group/0002.wav,English,EN-Tenor-1,Exile,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.924896,0.499896,hard_negative,30,96,mix_prob,0.924896
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Love on the Brain\Falsetto_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love on the Brain/Falsetto_Group/0002.wav,English,EN-Tenor-1,Love on the Brain,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.924569,0.499569,hard_negative,31,96,mix_prob,0.924569
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Someone You Loved#Falsetto_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Someone You Loved\Falsetto_Group\0000.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Someone You Loved/Falsetto_Group/0000.wav,English,EN-Tenor-1,Someone You Loved,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.923234,0.498234,hard_negative,32,96,mix_prob,0.923234
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Shallow\Falsetto_Group\0005.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Shallow/Falsetto_Group/0005.wav,English,EN-Tenor-1,Shallow,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.920623,0.495623,hard_negative,33,96,mix_prob,0.920623
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Young and Beautiful\Falsetto_Group\0006.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Falsetto_Group/0006.wav,English,EN-Tenor-1,Young and Beautiful,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.913944,0.488944,hard_negative,34,96,mix_prob,0.913944
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Look What You Make Me Do#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Look What You Make Me Do\Control_Group\0000.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Look What You Make Me Do/Control_Group/0000.wav,English,EN-Tenor-1,Look What You Make Me Do,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.912538,0.487538,hard_negative,35,96,mix_prob,0.912538
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Lavender Haze#Falsetto_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Lavender Haze\Falsetto_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Lavender Haze/Falsetto_Group/0002.wav,English,EN-Tenor-1,Lavender Haze,Falsetto_Group,0,1,0,0,0,0,1,non_mix,010000,falsetto_group,0.908802,0.483802,hard_negative,36,96,mix_prob,0.908802
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Diamonds#Falsetto_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Diamonds\Falsetto_Group\0006.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Diamonds/Falsetto_Group/0006.wav,English,EN-Tenor-1,Diamonds,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.906937,0.481937,hard_negative,37,96,mix_prob,0.906937
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Wildest Dreams#Falsetto_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Wildest Dreams\Falsetto_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Wildest Dreams/Falsetto_Group/0002.wav,English,EN-Tenor-1,Wildest Dreams,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.905695,0.480695,hard_negative,38,96,mix_prob,0.905695
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Falsetto_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Unconditionally\Falsetto_Group\0006.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Unconditionally/Falsetto_Group/0006.wav,English,EN-Tenor-1,Unconditionally,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.902482,0.477482,hard_negative,39,96,mix_prob,0.902482
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Love Story\Control_Group\0005.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love Story/Control_Group/0005.wav,English,EN-Tenor-1,Love Story,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.896732,0.471732,hard_negative,40,96,mix_prob,0.896732
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Shallow\Falsetto_Group\0009.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Shallow/Falsetto_Group/0009.wav,English,EN-Tenor-1,Shallow,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.894524,0.469524,hard_negative,41,96,mix_prob,0.894524
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Umbrella#Falsetto_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Umbrella\Falsetto_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Umbrella/Falsetto_Group/0002.wav,English,EN-Tenor-1,Umbrella,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.893029,0.468029,hard_negative,42,96,mix_prob,0.893029
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#You Belong With Me#Falsetto_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\You Belong With Me\Falsetto_Group\0001.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/You Belong With Me/Falsetto_Group/0001.wav,English,EN-Tenor-1,You Belong With Me,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.890251,0.465251,hard_negative,43,96,mix_prob,0.890251
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Shallow\Falsetto_Group\0004.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Shallow/Falsetto_Group/0004.wav,English,EN-Tenor-1,Shallow,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.885735,0.460735,hard_negative,44,96,mix_prob,0.885735
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Young and Beautiful\Falsetto_Group\0000.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Falsetto_Group/0000.wav,English,EN-Tenor-1,Young and Beautiful,Falsetto_Group,0,1,0,0,0,0,1,non_mix,010000,falsetto_group,0.884584,0.459584,hard_negative,45,96,mix_prob,0.884584
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#I Knew You Were Trouble#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\I Knew You Were Trouble\Control_Group\0004.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/I Knew You Were Trouble/Control_Group/0004.wav,English,EN-Tenor-1,I Knew You Were Trouble,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.883,0.458,hard_negative,46,96,mix_prob,0.883
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Take a Bow\Control_Group\0006.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Take a Bow/Control_Group/0006.wav,English,EN-Tenor-1,Take a Bow,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.881819,0.456819,hard_negative,47,96,mix_prob,0.881819
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Unconditionally\Control_Group\0004.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Unconditionally/Control_Group/0004.wav,English,EN-Tenor-1,Unconditionally,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.877801,0.452801,hard_negative,48,96,mix_prob,0.877801
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Wildest Dreams#Falsetto_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Wildest Dreams\Falsetto_Group\0007.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Wildest Dreams/Falsetto_Group/0007.wav,English,EN-Tenor-1,Wildest Dreams,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.877759,0.452759,hard_negative,49,96,mix_prob,0.877759
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Unconditionally\Control_Group\0003.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Unconditionally/Control_Group/0003.wav,English,EN-Tenor-1,Unconditionally,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.876879,0.451879,hard_negative,50,96,mix_prob,0.876879
