item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mix_prob,threshold_gap,increment_selection_role,increment_rank,increment_pool_size,increment_reference_field,increment_reference_value
English#EN-Alto-2#Pharyngeal#Yesterday Once More#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\Yesterday Once More\Control_Group\0008.wav,English/EN-Alto-2/Pharyngeal/Yesterday Once More/Control_Group/0008.wav,English,EN-Alto-2,Yesterday Once More,Control_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,0.018452,0.406548,hard_positive,34,96,mix_prob,0.018452
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Mixed_Voice_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\God is A Girl\Mixed_Voice_Group\0006.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/God is A Girl/Mixed_Voice_Group/0006.wav,English,EN-Alto-2,God is A Girl,Mixed_Voice_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,0.018576,0.406424,hard_positive,35,96,mix_prob,0.018576
English#EN-Alto-2#Breathy#Yesterday Once More#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\Yesterday Once More\Control_Group\0004.wav,English/EN-Alto-2/Breathy/Yesterday Once More/Control_Group/0004.wav,English,EN-Alto-2,Yesterday Once More,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.019531,0.405469,hard_positive,36,96,mix_prob,0.019531
English#EN-Alto-2#Glissando#Yesterday Once More#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\Yesterday Once More\Control_Group\0004.wav,English/EN-Alto-2/Glissando/Yesterday Once More/Control_Group/0004.wav,English,EN-Alto-2,Yesterday Once More,Control_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,0.019531,0.405469,hard_positive,37,96,mix_prob,0.019531
English#EN-Alto-2#Pharyngeal#Yesterday Once More#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\Yesterday Once More\Control_Group\0004.wav,English/EN-Alto-2/Pharyngeal/Yesterday Once More/Control_Group/0004.wav,English,EN-Alto-2,Yesterday Once More,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.019531,0.405469,hard_positive,38,96,mix_prob,0.019531
English#EN-Alto-2#Mixed_Voice_and_Falsetto#YOUTH#Mixed_Voice_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\YOUTH\Mixed_Voice_Group\0004.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/YOUTH/Mixed_Voice_Group/0004.wav,English,EN-Alto-2,YOUTH,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.019934,0.405066,hard_positive,39,96,mix_prob,0.019934
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Let It Go#Mixed_Voice_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\Let It Go\Mixed_Voice_Group\0001.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/Let It Go/Mixed_Voice_Group/0001.wav,English,EN-Alto-2,Let It Go,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.020799,0.404201,hard_positive,40,96,mix_prob,0.020799
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Call Me Maybe#Mixed_Voice_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\Call Me Maybe\Mixed_Voice_Group\0001.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/Call Me Maybe/Mixed_Voice_Group/0001.wav,English,EN-Alto-2,Call Me Maybe,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.021873,0.403127,hard_positive,41,96,mix_prob,0.021873
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Mixed_Voice_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\Young And Beautiful\Mixed_Voice_Group\0004.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/Young And Beautiful/Mixed_Voice_Group/0004.wav,English,EN-Alto-2,Young And Beautiful,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.023966,0.401034,hard_positive,42,96,mix_prob,0.023966
English#EN-Alto-2#Pharyngeal#Young And Beautiful#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\Young And Beautiful\Control_Group\0004.wav,English/EN-Alto-2/Pharyngeal/Young And Beautiful/Control_Group/0004.wav,English,EN-Alto-2,Young And Beautiful,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.023966,0.401034,hard_positive,43,96,mix_prob,0.023966
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Mixed_Voice_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\A Thousand Years\Mixed_Voice_Group\0006.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/A Thousand Years/Mixed_Voice_Group/0006.wav,English,EN-Alto-2,A Thousand Years,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.024801,0.400199,hard_positive,44,96,mix_prob,0.024801
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Mixed_Voice_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\Five Hundred Miles\Mixed_Voice_Group\0002.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/Five Hundred Miles/Mixed_Voice_Group/0002.wav,English,EN-Alto-2,Five Hundred Miles,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.024924,0.400076,hard_positive,45,96,mix_prob,0.024924
English#EN-Alto-2#Glissando#You Raise Me Up#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\You Raise Me Up\Control_Group\0004.wav,English/EN-Alto-2/Glissando/You Raise Me Up/Control_Group/0004.wav,English,EN-Alto-2,You Raise Me Up,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.025981,0.399019,hard_positive,46,96,mix_prob,0.025981
English#EN-Alto-2#Pharyngeal#You Raise Me Up#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\You Raise Me Up\Control_Group\0004.wav,English/EN-Alto-2/Pharyngeal/You Raise Me Up/Control_Group/0004.wav,English,EN-Alto-2,You Raise Me Up,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.025981,0.399019,hard_positive,47,96,mix_prob,0.025981
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Mixed_Voice_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\Five Hundred Miles\Mixed_Voice_Group\0007.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/Five Hundred Miles/Mixed_Voice_Group/0007.wav,English,EN-Alto-2,Five Hundred Miles,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.027445,0.397555,hard_positive,48,96,mix_prob,0.027445
English#EN-Alto-2#Glissando#You Raise Me Up#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\You Raise Me Up\Control_Group\0002.wav,English/EN-Alto-2/Glissando/You Raise Me Up/Control_Group/0002.wav,English,EN-Alto-2,You Raise Me Up,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.027817,0.397183,hard_positive,49,96,mix_prob,0.027817
English#EN-Alto-2#Pharyngeal#You Raise Me Up#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\You Raise Me Up\Control_Group\0002.wav,English/EN-Alto-2/Pharyngeal/You Raise Me Up/Control_Group/0002.wav,English,EN-Alto-2,You Raise Me Up,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.027817,0.397183,hard_positive,50,96,mix_prob,0.027817
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Mixed_Voice_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\God is A Girl\Mixed_Voice_Group\0007.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/God is A Girl/Mixed_Voice_Group/0007.wav,English,EN-Alto-2,God is A Girl,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.028015,0.396985,hard_positive,51,96,mix_prob,0.028015
English#EN-Alto-2#Breathy#Young And Beautiful#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\Young And Beautiful\Control_Group\0004.wav,English/EN-Alto-2/Breathy/Young And Beautiful/Control_Group/0004.wav,English,EN-Alto-2,Young And Beautiful,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.028917,0.396083,hard_positive,52,96,mix_prob,0.028917
English#EN-Alto-2#Glissando#Young And Beautiful#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\Young And Beautiful\Control_Group\0004.wav,English/EN-Alto-2/Glissando/Young And Beautiful/Control_Group/0004.wav,English,EN-Alto-2,Young And Beautiful,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.028917,0.396083,hard_positive,53,96,mix_prob,0.028917
English#EN-Alto-2#Breathy#Safe and Sound#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\Safe and Sound\Control_Group\0002.wav,English/EN-Alto-2/Breathy/Safe and Sound/Control_Group/0002.wav,English,EN-Alto-2,Safe and Sound,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.029137,0.395863,hard_positive,54,96,mix_prob,0.029137
English#EN-Alto-2#Glissando#Safe and Sound#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\Safe and Sound\Control_Group\0002.wav,English/EN-Alto-2/Glissando/Safe and Sound/Control_Group/0002.wav,English,EN-Alto-2,Safe and Sound,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.029137,0.395863,hard_positive,55,96,mix_prob,0.029137
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Safe and Sound#Mixed_Voice_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\Safe and Sound\Mixed_Voice_Group\0002.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/Safe and Sound/Mixed_Voice_Group/0002.wav,English,EN-Alto-2,Safe and Sound,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.029137,0.395863,hard_positive,56,96,mix_prob,0.029137
