wav_path,breath,anchor_ratio,anchor_time_sec,language,singer,song_name,song_key,ap_duration_sec
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Mixed_Voice_and_Falsetto\eviter les roses\Mixed_Voice_Group\0007.wav,0,0.40375,7.515,French,FR-Soprano-1,eviter les roses,French/FR-Soprano-1/eviter les roses,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\老男孩\Control_Group\0015.wav,0,0.132012,1.252,Chinese,ZH-Alto-1,老男孩,Chinese/ZH-Alto-1/老男孩,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Glissando\la fuite\Glissando_Group\0005.wav,0,0.144406,1.39,French,FR-Soprano-1,la fuite,French/FR-Soprano-1/la fuite,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Breathy\anxiete\Breathy_Group\0000.wav,0,0.656227,6.998,French,FR-Soprano-1,anxiete,French/FR-Soprano-1/anxiete,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\失落沙洲\Control_Group\0003.wav,0,0.458333,3.685,Chinese,ZH-Alto-1,失落沙洲,Chinese/ZH-Alto-1/失落沙洲,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\偏爱\Mixed_Voice_Group\0015.wav,1,0.638691,4.391,Chinese,ZH-Tenor-1,偏爱,Chinese/ZH-Tenor-1/偏爱,0.308
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\告白气球\Falsetto_Group\0003.wav,1,0.327206,2.67,Chinese,ZH-Alto-1,告白气球,Chinese/ZH-Alto-1/告白气球,0.34
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\最初的梦想\Falsetto_Group\0004.wav,0,0.387526,5.53,Chinese,ZH-Tenor-1,最初的梦想,Chinese/ZH-Tenor-1/最初的梦想,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Mixed_Voice_Group\0012.wav,0,0.167836,1.435,Chinese,ZH-Alto-1,可乐,Chinese/ZH-Alto-1/可乐,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\化身孤岛的鲸\Control_Group\0018.wav,1,0.526642,4.25,Chinese,ZH-Tenor-1,化身孤岛的鲸,Chinese/ZH-Tenor-1/化身孤岛的鲸,0.26
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Tenor-1\Glissando\manon\Control_Group\0002.wav,0,0.284972,2.768,French,FR-Tenor-1,manon,French/FR-Tenor-1/manon,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Mixed_Voice_and_Falsetto\comment deja\Mixed_Voice_Group\0000.wav,0,0.195388,1.83,French,FR-Soprano-1,comment deja,French/FR-Soprano-1/comment deja,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Mixed_Voice_Group\0012.wav,1,0.490058,4.19,Chinese,ZH-Alto-1,可乐,Chinese/ZH-Alto-1/可乐,0.36
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\老男孩\Falsetto_Group\0021.wav,0,0.608359,3.93,Chinese,ZH-Tenor-1,老男孩,Chinese/ZH-Tenor-1/老男孩,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\匆匆那年\Mixed_Voice_Group\0007.wav,0,0.139059,1.36,Chinese,ZH-Alto-1,匆匆那年,Chinese/ZH-Alto-1/匆匆那年,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\不染\Breathy_Group\0011.wav,1,0.502031,3.337,Chinese,ZH-Tenor-1,不染,Chinese/ZH-Tenor-1/不染,0.42
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Glissando\大鱼\Glissando_Group\0009.wav,0,0.246341,1.515,Chinese,ZH-Tenor-1,大鱼,Chinese/ZH-Tenor-1/大鱼,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\我的歌声里\Control_Group\0003.wav,1,0.779129,6.085,Chinese,ZH-Tenor-1,我的歌声里,Chinese/ZH-Tenor-1/我的歌声里,0.35
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\倒带\Mixed_Voice_Group\0000.wav,0,0.612436,4.801,Chinese,ZH-Tenor-1,倒带,Chinese/ZH-Tenor-1/倒带,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\演员\Mixed_Voice_Group\0003.wav,1,0.627552,5.102,Chinese,ZH-Tenor-1,演员,Chinese/ZH-Tenor-1/演员,0.656
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\你就不要想起我\Control_Group\0007.wav,0,0.24269,1.66,Chinese,ZH-Alto-1,你就不要想起我,Chinese/ZH-Alto-1/你就不要想起我,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\残酷月光\Control_Group\0009.wav,1,0.463345,6.51,Chinese,ZH-Tenor-1,残酷月光,Chinese/ZH-Tenor-1/残酷月光,1.16
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\我真的受伤了\Control_Group\0005.wav,0,0.468905,2.827,Chinese,ZH-Tenor-1,我真的受伤了,Chinese/ZH-Tenor-1/我真的受伤了,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Tenor-1\Glissando\avant\Glissando_Group\0000.wav,0,0.10873,1.715,French,FR-Tenor-1,avant,French/FR-Tenor-1/avant,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\会呼吸的痛\Breathy_Group\0021.wav,0,0.150389,1.74,Chinese,ZH-Tenor-1,会呼吸的痛,Chinese/ZH-Tenor-1/会呼吸的痛,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\想自由\Falsetto_Group\0011.wav,1,0.41629,2.76,Chinese,ZH-Tenor-1,想自由,Chinese/ZH-Tenor-1/想自由,0.44
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\演员\Falsetto_Group\0016.wav,0,0.142476,1.335,Chinese,ZH-Alto-1,演员,Chinese/ZH-Alto-1/演员,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Glissando\传奇\Glissando_Group\0012.wav,0,0.174539,1.515,Chinese,ZH-Tenor-1,传奇,Chinese/ZH-Tenor-1/传奇,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\最初的梦想\Control_Group\0010.wav,1,0.766443,5.71,Chinese,ZH-Tenor-1,最初的梦想,Chinese/ZH-Tenor-1/最初的梦想,0.32
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Tenor-1\Breathy\manon\Control_Group\0014.wav,0,0.174977,2.695,French,FR-Tenor-1,manon,French/FR-Tenor-1/manon,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Glissando\pour la peine\Control_Group\0002.wav,1,0.527465,6.28,French,FR-Soprano-1,pour la peine,French/FR-Soprano-1/pour la peine,0.526
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\后来\Control_Group\0010.wav,0,0.625119,6.545,Chinese,ZH-Tenor-1,后来,Chinese/ZH-Tenor-1/后来,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\化身孤岛的鲸\Mixed_Voice_Group\0011.wav,0,0.154235,1.22,Chinese,ZH-Alto-1,化身孤岛的鲸,Chinese/ZH-Alto-1/化身孤岛的鲸,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Breathy\a la vie comme a la mort\Control_Group\0000.wav,0,0.338695,2.938,French,FR-Soprano-1,a la vie comme a la mort,French/FR-Soprano-1/a la vie comme a la mort,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\听海\Control_Group\0011.wav,0,0.518655,4.951,Chinese,ZH-Alto-1,听海,Chinese/ZH-Alto-1/听海,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\终于等到你\Control_Group\0006.wav,0,0.178787,1.627,Chinese,ZH-Tenor-1,终于等到你,Chinese/ZH-Tenor-1/终于等到你,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Pharyngeal\情歌\Pharyngeal_Group\0007.wav,1,0.501236,4.055,Chinese,ZH-Tenor-1,情歌,Chinese/ZH-Tenor-1/情歌,0.33
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\我的歌声里\Control_Group\0009.wav,0,0.558795,5.845,Chinese,ZH-Alto-1,我的歌声里,Chinese/ZH-Alto-1/我的歌声里,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\演员\Falsetto_Group\0006.wav,0,0.116527,1.255,Chinese,ZH-Alto-1,演员,Chinese/ZH-Alto-1/演员,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Glissando\她说\Control_Group\0008.wav,0,0.631852,4.265,Chinese,ZH-Alto-1,她说,Chinese/ZH-Alto-1/她说,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Mixed_Voice_and_Falsetto\je vole\Mixed_Voice_Group\0001.wav,1,0.175381,2.05,French,FR-Soprano-1,je vole,French/FR-Soprano-1/je vole,1.441
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\最初的梦想\Control_Group\0000.wav,0,0.417781,3.125,Chinese,ZH-Tenor-1,最初的梦想,Chinese/ZH-Tenor-1/最初的梦想,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Mixed_Voice_and_Falsetto\la gloire a mes genoux\Mixed_Voice_Group\0002.wav,0,0.262992,3.701,French,FR-Soprano-1,la gloire a mes genoux,French/FR-Soprano-1/la gloire a mes genoux,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\南屏晚钟\Control_Group\0005.wav,1,0.341754,2.591,Chinese,ZH-Alto-1,南屏晚钟,Chinese/ZH-Alto-1/南屏晚钟,0.367
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\贝加尔湖畔\Falsetto_Group\0004.wav,0,0.585757,4.915,Chinese,ZH-Alto-1,贝加尔湖畔,Chinese/ZH-Alto-1/贝加尔湖畔,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Tenor-1\Breathy\avant\Paired_Speech_Group\0006.wav,0,0.203785,1.346,French,FR-Tenor-1,avant,French/FR-Tenor-1/avant,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\默\Breathy_Group\0000.wav,1,0.498778,6.12,Chinese,ZH-Alto-1,默,Chinese/ZH-Alto-1/默,1.8
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\匆匆那年\Control_Group\0015.wav,0,0.394027,4.09,Chinese,ZH-Alto-1,匆匆那年,Chinese/ZH-Alto-1/匆匆那年,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\枫\Mixed_Voice_Group\0004.wav,0,0.164512,1.4,Chinese,ZH-Tenor-1,枫,Chinese/ZH-Tenor-1/枫,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Pharyngeal\je ne sais pas choisir\Paired_Speech_Group\0006.wav,0,0.54266,2.875,French,FR-Soprano-1,je ne sais pas choisir,French/FR-Soprano-1/je ne sais pas choisir,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\全世界谁倾听你\Falsetto_Group\0007.wav,0,0.147379,1.49,Chinese,ZH-Tenor-1,全世界谁倾听你,Chinese/ZH-Tenor-1/全世界谁倾听你,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\给电影人的情书\Control_Group\0007.wav,0,0.464029,5.16,Chinese,ZH-Alto-1,给电影人的情书,Chinese/ZH-Alto-1/给电影人的情书,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\可惜没如果\Falsetto_Group\0001.wav,0,0.446845,2.833,Chinese,ZH-Tenor-1,可惜没如果,Chinese/ZH-Tenor-1/可惜没如果,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Pharyngeal\les maudits mots d'amour\Pharyngeal_Group\0001.wav,1,0.55939,9.072,French,FR-Soprano-1,les maudits mots d'amour,French/FR-Soprano-1/les maudits mots d'amour,0.36
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\老男孩\Falsetto_Group\0002.wav,1,0.521739,3.36,Chinese,ZH-Tenor-1,老男孩,Chinese/ZH-Tenor-1/老男孩,0.26
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Mixed_Voice_and_Falsetto\comment deja\Falsetto_Group\0001.wav,1,0.875544,9.457,French,FR-Soprano-1,comment deja,French/FR-Soprano-1/comment deja,0.37
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\过火\Control_Group\0024.wav,0,0.123925,1.585,Chinese,ZH-Tenor-1,过火,Chinese/ZH-Tenor-1/过火,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\情歌\Falsetto_Group\0010.wav,0,0.329513,2.3,Chinese,ZH-Tenor-1,情歌,Chinese/ZH-Tenor-1/情歌,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Pharyngeal\comment dire\Pharyngeal_Group\0008.wav,0,0.07731,1.322,French,FR-Soprano-1,comment dire,French/FR-Soprano-1/comment dire,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Glissando\你给我听好\Control_Group\0003.wav,0,0.641312,7.588,Chinese,ZH-Alto-1,你给我听好,Chinese/ZH-Alto-1/你给我听好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Mixed_Voice_Group\0002.wav,1,0.512838,3.795,Chinese,ZH-Alto-1,可乐,Chinese/ZH-Alto-1/可乐,0.51
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Glissando\彩虹\Control_Group\0014.wav,0,0.266447,1.62,Chinese,ZH-Tenor-1,彩虹,Chinese/ZH-Tenor-1/彩虹,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\三寸天堂\Control_Group\0011.wav,0,0.556281,3.41,Chinese,ZH-Alto-1,三寸天堂,Chinese/ZH-Alto-1/三寸天堂,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\会呼吸的痛\Control_Group\0011.wav,0,0.650684,7.125,Chinese,ZH-Tenor-1,会呼吸的痛,Chinese/ZH-Tenor-1/会呼吸的痛,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Glissando\青花瓷\Control_Group\0009.wav,0,0.498787,6.579,Chinese,ZH-Alto-1,青花瓷,Chinese/ZH-Alto-1/青花瓷,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\默\Breathy_Group\0002.wav,0,0.610783,4.135,Chinese,ZH-Alto-1,默,Chinese/ZH-Alto-1/默,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Tenor-1\Mixed_Voice_and_Falsetto\Les Marionnettes\Falsetto_Group\0006.wav,1,0.90492,12.355,French,FR-Tenor-1,Les Marionnettes,French/FR-Tenor-1/Les Marionnettes,0.531
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Pharyngeal\不为谁而作的歌\Pharyngeal_Group\0005.wav,1,0.550608,4.45,Chinese,ZH-Tenor-1,不为谁而作的歌,Chinese/ZH-Tenor-1/不为谁而作的歌,0.5
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\空白格\Vibrato_Group\0001.wav,1,0.264357,2.9,Chinese,ZH-Tenor-1,空白格,Chinese/ZH-Tenor-1/空白格,0.34
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\偏爱\Mixed_Voice_Group\0004.wav,0,0.164973,2.11,Chinese,ZH-Tenor-1,偏爱,Chinese/ZH-Tenor-1/偏爱,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Mixed_Voice_and_Falsetto\la vaguelette\Mixed_Voice_Group\0003.wav,0,0.536638,6.247,French,FR-Soprano-1,la vaguelette,French/FR-Soprano-1/la vaguelette,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Glissando\pour la peine\Glissando_Group\0007.wav,1,0.6535,6.361,French,FR-Soprano-1,pour la peine,French/FR-Soprano-1/pour la peine,1.681
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Pharyngeal\我怀念的\Pharyngeal_Group\0009.wav,1,0.523341,3.512,Chinese,ZH-Tenor-1,我怀念的,Chinese/ZH-Tenor-1/我怀念的,0.256
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\给电影人的情书\Falsetto_Group\0008.wav,0,0.206873,1.535,Chinese,ZH-Alto-1,给电影人的情书,Chinese/ZH-Alto-1/给电影人的情书,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Tenor-1\Glissando\o souverain\Glissando_Group\0012.wav,0,0.544723,4.604,French,FR-Tenor-1,o souverain,French/FR-Tenor-1/o souverain,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\剑伤\Control_Group\0006.wav,1,0.396696,2.93,Chinese,ZH-Alto-1,剑伤,Chinese/ZH-Alto-1/剑伤,0.32
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\终于等到你\Control_Group\0005.wav,0,0.499293,4.593,Chinese,ZH-Tenor-1,终于等到你,Chinese/ZH-Tenor-1/终于等到你,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Tenor-1\Breathy\avant\Breathy_Group\0003.wav,0,0.345262,5.217,French,FR-Tenor-1,avant,French/FR-Tenor-1/avant,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Pharyngeal\comment dire\Control_Group\0007.wav,1,0.360608,4.059,French,FR-Soprano-1,comment dire,French/FR-Soprano-1/comment dire,0.756
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Pharyngeal\逆光\Control_Group\0001.wav,0,0.314859,3.571,Chinese,ZH-Tenor-1,逆光,Chinese/ZH-Tenor-1/逆光,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\不再见\Vibrato_Group\0017.wav,0,0.175389,1.575,Chinese,ZH-Alto-1,不再见,Chinese/ZH-Alto-1/不再见,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\空白格\Control_Group\0000.wav,1,0.498647,5.895,Chinese,ZH-Tenor-1,空白格,Chinese/ZH-Tenor-1/空白格,0.95
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\说谎\Control_Group\0002.wav,1,0.505017,3.473,Chinese,ZH-Alto-1,说谎,Chinese/ZH-Alto-1/说谎,0.455
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Mixed_Voice_and_Falsetto\eviter les roses\Paired_Speech_Group\0007.wav,0,0.451794,7.554,French,FR-Soprano-1,eviter les roses,French/FR-Soprano-1/eviter les roses,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Pharyngeal\雨爱\Pharyngeal_Group\0012.wav,1,0.369277,3.065,Chinese,ZH-Tenor-1,雨爱,Chinese/ZH-Tenor-1/雨爱,0.29
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\说谎\Control_Group\0000.wav,0,0.105576,1.439,Chinese,ZH-Alto-1,说谎,Chinese/ZH-Alto-1/说谎,0.0
