item_name,singer,song_name,group_name,binary_role,mix_variant,mix_prob,fp_margin
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0003,EN-Tenor-1,Young and Beautiful,Falsetto_Group,falsetto_group,non_mix,0.873893,0.448893
English#EN-Tenor-1#Glissando#All I Ask#Glissando_Group#0000,EN-Tenor-1,All I Ask,Glissando_Group,other_negative,non_mix,0.873757,0.448757
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0000,EN-Tenor-1,Shallow,Falsetto_Group,falsetto_group,non_mix,0.872528,0.447528
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0007,EN-Tenor-1,Love on the Brain,Falsetto_Group,falsetto_group,non_mix,0.870271,0.445271
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0004,EN-Tenor-1,Love Story,Control_Group,control_negative,non_mix,0.859471,0.434471
English#EN-Tenor-1#Glissando#Someone Like You#Glissando_Group#0004,EN-Tenor-1,Someone Like You,Glissando_Group,other_negative,non_mix,0.858577,0.433577
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0001,EN-Tenor-1,Love Story,Control_Group,control_negative,non_mix,0.857831,0.432831
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0008,EN-Tenor-1,Shallow,Falsetto_Group,falsetto_group,non_mix,0.855265,0.430265
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Control_Group#0004,EN-Tenor-1,Shallow,Control_Group,control_negative,non_mix,0.855253,0.430253
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Dark Paradise#Falsetto_Group#0000,EN-Tenor-1,Dark Paradise,Falsetto_Group,falsetto_group,non_mix,0.855055,0.430055
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Style#Control_Group#0002,EN-Tenor-1,Style,Control_Group,control_negative,non_mix,0.854386,0.429386
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Firework#Falsetto_Group#0001,EN-Tenor-1,Firework,Falsetto_Group,falsetto_group,non_mix,0.850151,0.425151
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0013,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.85,0.425
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Falsetto_Group#0005,EN-Tenor-1,Unconditionally,Falsetto_Group,falsetto_group,non_mix,0.849683,0.424683
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Call Out My Name#Falsetto_Group#0002,EN-Tenor-1,Call Out My Name,Falsetto_Group,falsetto_group,non_mix,0.848192,0.423192
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Firework#Falsetto_Group#0010,EN-Tenor-1,Firework,Falsetto_Group,falsetto_group,non_mix,0.846228,0.421228
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Wildest Dreams#Falsetto_Group#0004,EN-Tenor-1,Wildest Dreams,Falsetto_Group,falsetto_group,non_mix,0.845621,0.420621
English#EN-Tenor-1#Vibrato#Someone Like You#Vibrato_Group#0004,EN-Tenor-1,Someone Like You,Vibrato_Group,other_negative,non_mix,0.84421,0.41921
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Falsetto_Group#0005,EN-Tenor-1,Take a Bow,Falsetto_Group,falsetto_group,non_mix,0.840174,0.415174
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0002,EN-Tenor-1,Shallow,Falsetto_Group,falsetto_group,non_mix,0.839849,0.414849
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Falsetto_Group#0004,EN-Tenor-1,Unconditionally,Falsetto_Group,falsetto_group,non_mix,0.839382,0.414382
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Umbrella#Falsetto_Group#0005,EN-Tenor-1,Umbrella,Falsetto_Group,falsetto_group,non_mix,0.838651,0.413651
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Control_Group#0006,EN-Tenor-1,Love on the Brain,Control_Group,control_negative,non_mix,0.831683,0.406683
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Wildest Dreams#Falsetto_Group#0006,EN-Tenor-1,Wildest Dreams,Falsetto_Group,falsetto_group,non_mix,0.829557,0.404557
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Falsetto_Group#0006,EN-Tenor-1,Love Story,Falsetto_Group,falsetto_group,non_mix,0.828901,0.403901
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Diamonds#Falsetto_Group#0002,EN-Tenor-1,Diamonds,Falsetto_Group,falsetto_group,non_mix,0.819109,0.394109
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#August#Falsetto_Group#0006,EN-Tenor-1,August,Falsetto_Group,falsetto_group,non_mix,0.816966,0.391966
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Control_Group#0003,EN-Alto-1,how does a moment last forever,Control_Group,control_negative,non_mix,0.815445,0.390445
English#EN-Tenor-1#Glissando#Someone Like You#Control_Group#0002,EN-Tenor-1,Someone Like You,Control_Group,control_negative,non_mix,0.81306,0.38806
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0011,EN-Tenor-1,Love on the Brain,Falsetto_Group,falsetto_group,non_mix,0.812071,0.387071
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Umbrella#Falsetto_Group#0000,EN-Tenor-1,Umbrella,Falsetto_Group,falsetto_group,non_mix,0.811495,0.386495
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Wildest Dreams#Falsetto_Group#0009,EN-Tenor-1,Wildest Dreams,Falsetto_Group,falsetto_group,non_mix,0.810002,0.385002
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0010,EN-Tenor-1,Shallow,Falsetto_Group,falsetto_group,non_mix,0.808686,0.383686
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Summertime Sadness#Falsetto_Group#0000,EN-Tenor-1,Summertime Sadness,Falsetto_Group,falsetto_group,non_mix,0.808343,0.383343
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Falsetto_Group#0004,EN-Tenor-1,Take a Bow,Falsetto_Group,falsetto_group,non_mix,0.807433,0.382433
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#What Was I Made For？#Control_Group#0003,EN-Tenor-1,What Was I Made For？,Control_Group,control_negative,non_mix,0.806372,0.381372
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Control_Group#0001,EN-Tenor-1,Shallow,Control_Group,control_negative,non_mix,0.801236,0.376236
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#You Belong With Me#Control_Group#0004,EN-Tenor-1,You Belong With Me,Control_Group,control_negative,non_mix,0.801171,0.376171
English#EN-Tenor-1#Glissando#Someone Like You#Glissando_Group#0000,EN-Tenor-1,Someone Like You,Glissando_Group,other_negative,non_mix,0.800266,0.375266
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Control_Group#0005,EN-Tenor-1,Unconditionally,Control_Group,control_negative,non_mix,0.7964,0.3714
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0001,EN-Tenor-1,Shallow,Falsetto_Group,falsetto_group,non_mix,0.793386,0.368386
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Control_Group#0006,EN-Alto-1,yesterday once more,Control_Group,control_negative,non_mix,0.792484,0.367484
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Style#Control_Group#0005,EN-Tenor-1,Style,Control_Group,control_negative,non_mix,0.792281,0.367281
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Umbrella#Falsetto_Group#0004,EN-Tenor-1,Umbrella,Falsetto_Group,falsetto_group,non_mix,0.787916,0.362916
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Blank Space#Control_Group#0003,EN-Tenor-1,Blank Space,Control_Group,control_negative,non_mix,0.785579,0.360579
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Control_Group#0000,EN-Tenor-1,Shallow,Control_Group,control_negative,non_mix,0.782257,0.357257
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#August#Falsetto_Group#0004,EN-Tenor-1,August,Falsetto_Group,falsetto_group,non_mix,0.7792,0.3542
English#EN-Tenor-1#Glissando#Someone Like You#Control_Group#0001,EN-Tenor-1,Someone Like You,Control_Group,control_negative,non_mix,0.777375,0.352375
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Sparks Fly#Control_Group#0000,EN-Tenor-1,Sparks Fly,Control_Group,control_negative,non_mix,0.771223,0.346223
English#EN-Tenor-1#Vibrato#All I Ask#Vibrato_Group#0002,EN-Tenor-1,All I Ask,Vibrato_Group,other_negative,non_mix,0.769574,0.344574
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Someone You Loved#Falsetto_Group#0008,EN-Tenor-1,Someone You Loved,Falsetto_Group,falsetto_group,non_mix,0.769352,0.344352
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Falsetto_Group#0001,EN-Tenor-1,Take a Bow,Falsetto_Group,falsetto_group,non_mix,0.758138,0.333138
English#EN-Alto-1#Mixed_Voice_and_Falsetto#Arriety's song#Control_Group#0008,EN-Alto-1,Arriety's song,Control_Group,control_negative,non_mix,0.755639,0.330639
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Control_Group#0010,EN-Alto-1,how does a moment last forever,Control_Group,control_negative,non_mix,0.753811,0.328811
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Firework#Falsetto_Group#0005,EN-Tenor-1,Firework,Falsetto_Group,falsetto_group,non_mix,0.753408,0.328408
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Control_Group#0006,EN-Tenor-1,Unconditionally,Control_Group,control_negative,non_mix,0.751898,0.326898
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0004,EN-Tenor-1,Young and Beautiful,Falsetto_Group,falsetto_group,non_mix,0.750961,0.325961
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Summertime Sadness#Falsetto_Group#0003,EN-Tenor-1,Summertime Sadness,Falsetto_Group,falsetto_group,non_mix,0.750921,0.325921
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Control_Group#0000,EN-Tenor-1,Love on the Brain,Control_Group,control_negative,non_mix,0.748825,0.323825
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Control_Group#0005,EN-Alto-1,let it go,Control_Group,control_negative,non_mix,0.745719,0.320719
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#August#Falsetto_Group#0003,EN-Tenor-1,August,Falsetto_Group,falsetto_group,non_mix,0.745183,0.320183
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Control_Group#0001,EN-Alto-1,you raise me up,Control_Group,control_negative,non_mix,0.744447,0.319447
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Back to December#Control_Group#0001,EN-Tenor-1,Back to December,Control_Group,control_negative,non_mix,0.74231,0.31731
English#EN-Alto-1#Pharyngeal#love stroy#Pharyngeal_Group#0010,EN-Alto-1,love stroy,Pharyngeal_Group,other_negative,non_mix,0.73949,0.31449
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Control_Group#0008,EN-Tenor-1,Love on the Brain,Control_Group,control_negative,non_mix,0.736579,0.311579
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Style#Control_Group#0003,EN-Tenor-1,Style,Control_Group,control_negative,non_mix,0.733353,0.308353
English#EN-Tenor-1#Breathy#Million Reasons#Breathy_Group#0004,EN-Tenor-1,Million Reasons,Breathy_Group,breathy_group,non_mix,0.730056,0.305056
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Falsetto_Group#0007,EN-Tenor-1,Take a Bow,Falsetto_Group,falsetto_group,non_mix,0.728363,0.303363
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0014,EN-Tenor-1,Love on the Brain,Falsetto_Group,falsetto_group,non_mix,0.728103,0.303103
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Cardigan#Falsetto_Group#0004,EN-Tenor-1,Cardigan,Falsetto_Group,falsetto_group,non_mix,0.727403,0.302403
English#EN-Tenor-1#Breathy#Million Reasons#Breathy_Group#0001,EN-Tenor-1,Million Reasons,Breathy_Group,breathy_group,non_mix,0.724431,0.299431
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#You Belong With Me#Falsetto_Group#0008,EN-Tenor-1,You Belong With Me,Falsetto_Group,falsetto_group,non_mix,0.724114,0.299114
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Control_Group#0007,EN-Tenor-1,Take a Bow,Control_Group,control_negative,non_mix,0.723448,0.298448
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Control_Group#0000,EN-Alto-1,you raise me up,Control_Group,control_negative,non_mix,0.723178,0.298178
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Exile#Control_Group#0000,EN-Tenor-1,Exile,Control_Group,control_negative,non_mix,0.718191,0.293191
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0011,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.718118,0.293118
English#EN-Alto-1#Mixed_Voice_and_Falsetto#la vie en rose#Control_Group#0003,EN-Alto-1,la vie en rose,Control_Group,control_negative,non_mix,0.715236,0.290236
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Someone You Loved#Control_Group#0005,EN-Tenor-1,Someone You Loved,Control_Group,control_negative,non_mix,0.71142,0.28642
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Control_Group#0021,EN-Alto-1,let it go,Control_Group,control_negative,non_mix,0.708429,0.283429
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Falsetto_Group#0002,EN-Tenor-1,Take a Bow,Falsetto_Group,falsetto_group,non_mix,0.708192,0.283192
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Lavender Haze#Control_Group#0001,EN-Tenor-1,Lavender Haze,Control_Group,control_negative,non_mix,0.707802,0.282802
English#EN-Tenor-1#Breathy#Shallow#Breathy_Group#0001,EN-Tenor-1,Shallow,Breathy_Group,breathy_group,non_mix,0.707608,0.282608
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#I Knew You Were Trouble#Control_Group#0006,EN-Tenor-1,I Knew You Were Trouble,Control_Group,control_negative,non_mix,0.705904,0.280904
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Diamonds#Falsetto_Group#0008,EN-Tenor-1,Diamonds,Falsetto_Group,falsetto_group,non_mix,0.70535,0.28035
