item_name,singer,song_name,group_name,binary_role,mix_variant,mix_prob,threshold_gap
English#EN-Alto-1#Breathy#all is found#Breathy_Group#0012,EN-Alto-1,all is found,Breathy_Group,positive_mix,breathy_mix,0.389294,0.010706
English#EN-Alto-1#Mixed_Voice_and_Falsetto#la vie en rose#Mixed_Voice_Group#0001,EN-Alto-1,la vie en rose,Mixed_Voice_Group,positive_mix,clear_mix,0.387976,0.012024
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Mixed_Voice_Group#0007,EN-Alto-1,how does a moment last forever,Mixed_Voice_Group,positive_mix,clear_mix,0.386279,0.013721
English#EN-Alto-1#Vibrato#my heart will go on#Control_Group#0009,EN-Alto-1,my heart will go on,Control_Group,positive_mix,clear_mix,0.386212,0.013788
English#EN-Alto-1#Glissando#rolling in the deep#Control_Group#0010,EN-Alto-1,rolling in the deep,Control_Group,positive_mix,clear_mix,0.38546,0.01454
English#EN-Alto-1#Vibrato#my heart will go on#Control_Group#0012,EN-Alto-1,my heart will go on,Control_Group,positive_mix,clear_mix,0.385231,0.014769
English#EN-Alto-1#Pharyngeal#monsters#Control_Group#0000,EN-Alto-1,monsters,Control_Group,positive_mix,clear_mix,0.385015,0.014985
English#EN-Alto-1#Breathy#who says#Breathy_Group#0014,EN-Alto-1,who says,Breathy_Group,positive_mix,breathy_mix,0.384151,0.015849
English#EN-Alto-1#Vibrato#my heart will go on#Control_Group#0010,EN-Alto-1,my heart will go on,Control_Group,positive_mix,clear_mix,0.383261,0.016739
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Mixed_Voice_Group#0013,EN-Alto-1,yesterday once more,Mixed_Voice_Group,positive_mix,clear_mix,0.382869,0.017131
English#EN-Alto-1#Glissando#tell me that you love me#Glissando_Group#0005,EN-Alto-1,tell me that you love me,Glissando_Group,positive_mix,clear_mix,0.382055,0.017945
English#EN-Alto-1#Glissando#rolling in the deep#Glissando_Group#0007,EN-Alto-1,rolling in the deep,Glissando_Group,positive_mix,clear_mix,0.381705,0.018295
English#EN-Alto-1#Mixed_Voice_and_Falsetto#my love#Mixed_Voice_Group#0006,EN-Alto-1,my love,Mixed_Voice_Group,positive_mix,clear_mix,0.378192,0.021808
English#EN-Alto-1#Breathy#treasure#Breathy_Group#0006,EN-Alto-1,treasure,Breathy_Group,positive_mix,clear_mix,0.377484,0.022516
English#EN-Alto-1#Glissando#tell me that you love me#Control_Group#0012,EN-Alto-1,tell me that you love me,Control_Group,positive_mix,clear_mix,0.376628,0.023372
English#EN-Alto-1#Breathy#all is found#Breathy_Group#0003,EN-Alto-1,all is found,Breathy_Group,positive_mix,breathy_mix,0.375583,0.024417
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Mixed_Voice_Group#0015,EN-Alto-1,let it go,Mixed_Voice_Group,positive_mix,clear_mix,0.375118,0.024882
English#EN-Alto-1#Glissando#my love#Control_Group#0011,EN-Alto-1,my love,Control_Group,positive_mix,clear_mix,0.374918,0.025082
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Mixed_Voice_Group#0009,EN-Alto-1,let it go,Mixed_Voice_Group,positive_mix,clear_mix,0.374231,0.025769
English#EN-Alto-1#Breathy#safe and sound#Control_Group#0001,EN-Alto-1,safe and sound,Control_Group,positive_mix,clear_mix,0.374119,0.025881
English#EN-Alto-1#Pharyngeal#somewhere over the rainbow#Control_Group#0011,EN-Alto-1,somewhere over the rainbow,Control_Group,positive_mix,clear_mix,0.373135,0.026865
English#EN-Alto-1#Mixed_Voice_and_Falsetto#all is found#Mixed_Voice_Group#0002,EN-Alto-1,all is found,Mixed_Voice_Group,positive_mix,clear_mix,0.370299,0.029701
English#EN-Alto-1#Glissando#for the first time in forever#Glissando_Group#0008,EN-Alto-1,for the first time in forever,Glissando_Group,positive_mix,clear_mix,0.37017,0.02983
English#EN-Alto-1#Glissando#trouble is a friend#Glissando_Group#0010,EN-Alto-1,trouble is a friend,Glissando_Group,positive_mix,clear_mix,0.369658,0.030342
English#EN-Alto-1#Pharyngeal#love stroy#Control_Group#0011,EN-Alto-1,love stroy,Control_Group,positive_mix,clear_mix,0.369389,0.030611
English#EN-Alto-1#Breathy#all is found#Breathy_Group#0008,EN-Alto-1,all is found,Breathy_Group,positive_mix,breathy_mix,0.368313,0.031687
English#EN-Alto-1#Mixed_Voice_and_Falsetto#Arriety's song#Mixed_Voice_Group#0004,EN-Alto-1,Arriety's song,Mixed_Voice_Group,positive_mix,clear_mix,0.367731,0.032269
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Mixed_Voice_Group#0008,EN-Alto-1,yesterday once more,Mixed_Voice_Group,positive_mix,clear_mix,0.366948,0.033052
English#EN-Alto-1#Glissando#rolling in the deep#Control_Group#0006,EN-Alto-1,rolling in the deep,Control_Group,positive_mix,clear_mix,0.364203,0.035797
English#EN-Alto-1#Glissando#rolling in the deep#Glissando_Group#0005,EN-Alto-1,rolling in the deep,Glissando_Group,positive_mix,clear_mix,0.363479,0.036521
English#EN-Alto-1#Pharyngeal#love stroy#Control_Group#0003,EN-Alto-1,love stroy,Control_Group,positive_mix,clear_mix,0.362997,0.037003
English#EN-Alto-1#Mixed_Voice_and_Falsetto#big big world#Mixed_Voice_Group#0000,EN-Alto-1,big big world,Mixed_Voice_Group,positive_mix,clear_mix,0.36129,0.03871
English#EN-Alto-1#Breathy#all is found#Control_Group#0005,EN-Alto-1,all is found,Control_Group,positive_mix,clear_mix,0.360948,0.039052
English#EN-Alto-1#Vibrato#my heart will go on#Control_Group#0003,EN-Alto-1,my heart will go on,Control_Group,positive_mix,clear_mix,0.360294,0.039706
English#EN-Alto-1#Pharyngeal#love stroy#Control_Group#0001,EN-Alto-1,love stroy,Control_Group,positive_mix,clear_mix,0.359528,0.040472
English#EN-Alto-1#Glissando#for the first time in forever#Control_Group#0010,EN-Alto-1,for the first time in forever,Control_Group,positive_mix,clear_mix,0.359304,0.040696
English#EN-Alto-1#Breathy#who says#Breathy_Group#0013,EN-Alto-1,who says,Breathy_Group,positive_mix,breathy_mix,0.35811,0.04189
English#EN-Alto-1#Pharyngeal#who says#Control_Group#0001,EN-Alto-1,who says,Control_Group,positive_mix,clear_mix,0.357682,0.042318
English#EN-Alto-1#Mixed_Voice_and_Falsetto#seasons in the sun#Mixed_Voice_Group#0021,EN-Alto-1,seasons in the sun,Mixed_Voice_Group,positive_mix,clear_mix,0.357653,0.042347
English#EN-Alto-1#Mixed_Voice_and_Falsetto#somewhere over the rainbow#Mixed_Voice_Group#0005,EN-Alto-1,somewhere over the rainbow,Mixed_Voice_Group,positive_mix,clear_mix,0.35691,0.04309
English#EN-Alto-1#Glissando#tell me that you love me#Control_Group#0007,EN-Alto-1,tell me that you love me,Control_Group,positive_mix,clear_mix,0.356514,0.043486
English#EN-Alto-1#Glissando#rolling in the deep#Glissando_Group#0008,EN-Alto-1,rolling in the deep,Glissando_Group,positive_mix,clear_mix,0.355237,0.044763
English#EN-Alto-1#Mixed_Voice_and_Falsetto#make it shine#Mixed_Voice_Group#0013,EN-Alto-1,make it shine,Mixed_Voice_Group,positive_mix,clear_mix,0.35445,0.04555
English#EN-Alto-1#Breathy#innocence#Breathy_Group#0010,EN-Alto-1,innocence,Breathy_Group,positive_mix,clear_mix,0.352504,0.047496
English#EN-Alto-1#Breathy#who says#Control_Group#0009,EN-Alto-1,who says,Control_Group,positive_mix,clear_mix,0.352155,0.047845
English#EN-Alto-1#Pharyngeal#who says#Control_Group#0008,EN-Alto-1,who says,Control_Group,positive_mix,clear_mix,0.352155,0.047845
English#EN-Alto-1#Pharyngeal#beauty and the beast#Control_Group#0008,EN-Alto-1,beauty and the beast,Control_Group,positive_mix,clear_mix,0.351506,0.048494
English#EN-Alto-1#Glissando#my love#Control_Group#0003,EN-Alto-1,my love,Control_Group,positive_mix,clear_mix,0.351462,0.048538
English#EN-Alto-1#Mixed_Voice_and_Falsetto#seasons in the sun#Mixed_Voice_Group#0012,EN-Alto-1,seasons in the sun,Mixed_Voice_Group,positive_mix,clear_mix,0.351449,0.048551
English#EN-Alto-1#Mixed_Voice_and_Falsetto#seasons in the sun#Mixed_Voice_Group#0009,EN-Alto-1,seasons in the sun,Mixed_Voice_Group,positive_mix,clear_mix,0.35085,0.04915
English#EN-Alto-1#Vibrato#if you love me for me#Vibrato_Group#0008,EN-Alto-1,if you love me for me,Vibrato_Group,positive_mix,clear_mix,0.35069,0.04931
English#EN-Alto-1#Vibrato#memory#Control_Group#0003,EN-Alto-1,memory,Control_Group,positive_mix,clear_mix,0.347787,0.052213
English#EN-Alto-1#Breathy#innocence#Breathy_Group#0013,EN-Alto-1,innocence,Breathy_Group,positive_mix,clear_mix,0.346817,0.053183
English#EN-Alto-1#Mixed_Voice_and_Falsetto#seasons in the sun#Control_Group#0020,EN-Alto-1,seasons in the sun,Control_Group,positive_mix,clear_mix,0.346454,0.053546
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Mixed_Voice_Group#0010,EN-Alto-1,yesterday once more,Mixed_Voice_Group,positive_mix,clear_mix,0.344189,0.055811
English#EN-Alto-1#Vibrato#my heart will go on#Vibrato_Group#0001,EN-Alto-1,my heart will go on,Vibrato_Group,positive_mix,clear_mix,0.344188,0.055812
English#EN-Alto-1#Pharyngeal#clouds#Control_Group#0008,EN-Alto-1,clouds,Control_Group,positive_mix,clear_mix,0.34378,0.05622
English#EN-Alto-1#Vibrato#if you love me for me#Control_Group#0010,EN-Alto-1,if you love me for me,Control_Group,positive_mix,clear_mix,0.343446,0.056554
English#EN-Alto-1#Breathy#once up a dream#Breathy_Group#0002,EN-Alto-1,once up a dream,Breathy_Group,positive_mix,clear_mix,0.343342,0.056658
English#EN-Alto-1#Glissando#rolling in the deep#Glissando_Group#0004,EN-Alto-1,rolling in the deep,Glissando_Group,positive_mix,clear_mix,0.341896,0.058104
English#EN-Alto-1#Mixed_Voice_and_Falsetto#big big world#Mixed_Voice_Group#0014,EN-Alto-1,big big world,Mixed_Voice_Group,positive_mix,clear_mix,0.341226,0.058774
English#EN-Alto-1#Glissando#tell me that you love me#Control_Group#0008,EN-Alto-1,tell me that you love me,Control_Group,positive_mix,clear_mix,0.341128,0.058872
English#EN-Alto-1#Breathy#all is found#Breathy_Group#0013,EN-Alto-1,all is found,Breathy_Group,positive_mix,breathy_mix,0.340785,0.059215
English#EN-Alto-1#Glissando#tell me that you love me#Control_Group#0013,EN-Alto-1,tell me that you love me,Control_Group,positive_mix,clear_mix,0.340628,0.059372
English#EN-Alto-1#Breathy#sleepyhead#Control_Group#0005,EN-Alto-1,sleepyhead,Control_Group,positive_mix,clear_mix,0.340088,0.059912
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Mixed_Voice_Group#0015,EN-Alto-1,yesterday once more,Mixed_Voice_Group,positive_mix,clear_mix,0.339569,0.060431
English#EN-Alto-1#Pharyngeal#beauty and the beast#Control_Group#0001,EN-Alto-1,beauty and the beast,Control_Group,positive_mix,clear_mix,0.33934,0.06066
English#EN-Alto-1#Breathy#sleepyhead#Breathy_Group#0007,EN-Alto-1,sleepyhead,Breathy_Group,positive_mix,breathy_mix,0.338792,0.061208
English#EN-Alto-1#Breathy#sleepyhead#Breathy_Group#0002,EN-Alto-1,sleepyhead,Breathy_Group,positive_mix,breathy_mix,0.338748,0.061252
English#EN-Alto-1#Glissando#for the first time in forever#Control_Group#0001,EN-Alto-1,for the first time in forever,Control_Group,positive_mix,clear_mix,0.335004,0.064996
English#EN-Alto-1#Glissando#god is a girl#Control_Group#0007,EN-Alto-1,god is a girl,Control_Group,positive_mix,clear_mix,0.333832,0.066168
English#EN-Alto-1#Mixed_Voice_and_Falsetto#make it shine#Mixed_Voice_Group#0011,EN-Alto-1,make it shine,Mixed_Voice_Group,positive_mix,clear_mix,0.332985,0.067015
English#EN-Alto-1#Pharyngeal#tell me that you love me#Control_Group#0008,EN-Alto-1,tell me that you love me,Control_Group,positive_mix,clear_mix,0.331908,0.068092
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Mixed_Voice_Group#0005,EN-Alto-1,yesterday once more,Mixed_Voice_Group,positive_mix,clear_mix,0.331553,0.068447
English#EN-Alto-1#Glissando#rolling in the deep#Glissando_Group#0009,EN-Alto-1,rolling in the deep,Glissando_Group,positive_mix,clear_mix,0.331106,0.068894
English#EN-Alto-1#Breathy#all is found#Control_Group#0013,EN-Alto-1,all is found,Control_Group,positive_mix,clear_mix,0.330572,0.069428
English#EN-Alto-1#Glissando#make it shine#Control_Group#0007,EN-Alto-1,make it shine,Control_Group,positive_mix,clear_mix,0.330543,0.069457
English#EN-Alto-1#Vibrato#my heart will go on#Control_Group#0004,EN-Alto-1,my heart will go on,Control_Group,positive_mix,clear_mix,0.330179,0.069821
English#EN-Alto-1#Pharyngeal#somewhere over the rainbow#Control_Group#0001,EN-Alto-1,somewhere over the rainbow,Control_Group,positive_mix,clear_mix,0.329385,0.070615
English#EN-Alto-1#Vibrato#if you love me for me#Control_Group#0007,EN-Alto-1,if you love me for me,Control_Group,positive_mix,clear_mix,0.329295,0.070705
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Mixed_Voice_Group#0014,EN-Alto-1,let it go,Mixed_Voice_Group,positive_mix,clear_mix,0.328736,0.071264
English#EN-Alto-1#Mixed_Voice_and_Falsetto#la vie en rose#Mixed_Voice_Group#0000,EN-Alto-1,la vie en rose,Mixed_Voice_Group,positive_mix,clear_mix,0.328342,0.071658
English#EN-Alto-1#Mixed_Voice_and_Falsetto#big big world#Mixed_Voice_Group#0002,EN-Alto-1,big big world,Mixed_Voice_Group,positive_mix,clear_mix,0.327455,0.072545
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Mixed_Voice_Group#0003,EN-Alto-1,let it go,Mixed_Voice_Group,positive_mix,clear_mix,0.327243,0.072757
English#EN-Alto-1#Glissando#tell me that you love me#Control_Group#0006,EN-Alto-1,tell me that you love me,Control_Group,positive_mix,clear_mix,0.326573,0.073427
English#EN-Alto-1#Pharyngeal#beauty and the beast#Control_Group#0000,EN-Alto-1,beauty and the beast,Control_Group,positive_mix,clear_mix,0.325231,0.074769
English#EN-Alto-1#Pharyngeal#beauty and the beast#Control_Group#0012,EN-Alto-1,beauty and the beast,Control_Group,positive_mix,clear_mix,0.324781,0.075219
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Mixed_Voice_Group#0016,EN-Alto-1,let it go,Mixed_Voice_Group,positive_mix,clear_mix,0.323957,0.076043
English#EN-Alto-2#Vibrato#Someone Like You#Vibrato_Group#0009,EN-Alto-2,Someone Like You,Vibrato_Group,positive_mix,clear_mix,0.323566,0.076434
English#EN-Alto-1#Glissando#tell me that you love me#Control_Group#0010,EN-Alto-1,tell me that you love me,Control_Group,positive_mix,clear_mix,0.322669,0.077331
English#EN-Alto-1#Mixed_Voice_and_Falsetto#big big world#Mixed_Voice_Group#0005,EN-Alto-1,big big world,Mixed_Voice_Group,positive_mix,clear_mix,0.321903,0.078097
English#EN-Alto-1#Breathy#sleepyhead#Breathy_Group#0000,EN-Alto-1,sleepyhead,Breathy_Group,positive_mix,breathy_mix,0.320981,0.079019
English#EN-Alto-1#Breathy#safe and sound#Control_Group#0008,EN-Alto-1,safe and sound,Control_Group,positive_mix,clear_mix,0.320679,0.079321
English#EN-Alto-1#Glissando#rolling in the deep#Glissando_Group#0010,EN-Alto-1,rolling in the deep,Glissando_Group,positive_mix,clear_mix,0.319746,0.080254
English#EN-Alto-1#Breathy#who says#Control_Group#0011,EN-Alto-1,who says,Control_Group,positive_mix,clear_mix,0.317828,0.082172
English#EN-Alto-1#Pharyngeal#who says#Control_Group#0010,EN-Alto-1,who says,Control_Group,positive_mix,clear_mix,0.317828,0.082172
English#EN-Alto-1#Pharyngeal#love stroy#Control_Group#0004,EN-Alto-1,love stroy,Control_Group,positive_mix,clear_mix,0.317681,0.082319
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Mixed_Voice_Group#0001,EN-Alto-1,you raise me up,Mixed_Voice_Group,positive_mix,clear_mix,0.316046,0.083954
English#EN-Alto-1#Glissando#for the first time in forever#Glissando_Group#0000,EN-Alto-1,for the first time in forever,Glissando_Group,positive_mix,clear_mix,0.315755,0.084245
English#EN-Alto-1#Vibrato#if you love me for me#Vibrato_Group#0007,EN-Alto-1,if you love me for me,Vibrato_Group,positive_mix,clear_mix,0.314072,0.085928
English#EN-Alto-1#Vibrato#memory#Vibrato_Group#0001,EN-Alto-1,memory,Vibrato_Group,positive_mix,clear_mix,0.313295,0.086705
English#EN-Alto-1#Glissando#god is a girl#Control_Group#0004,EN-Alto-1,god is a girl,Control_Group,positive_mix,clear_mix,0.312756,0.087244
English#EN-Alto-1#Glissando#my love#Glissando_Group#0012,EN-Alto-1,my love,Glissando_Group,positive_mix,clear_mix,0.312686,0.087314
English#EN-Alto-1#Vibrato#my heart will go on#Vibrato_Group#0007,EN-Alto-1,my heart will go on,Vibrato_Group,positive_mix,clear_mix,0.311375,0.088625
English#EN-Alto-1#Breathy#innocence#Control_Group#0011,EN-Alto-1,innocence,Control_Group,positive_mix,clear_mix,0.307777,0.092223
English#EN-Alto-1#Vibrato#memory#Vibrato_Group#0000,EN-Alto-1,memory,Vibrato_Group,positive_mix,clear_mix,0.307154,0.092846
English#EN-Alto-1#Glissando#god is a girl#Control_Group#0006,EN-Alto-1,god is a girl,Control_Group,positive_mix,clear_mix,0.306992,0.093008
English#EN-Alto-1#Glissando#rolling in the deep#Glissando_Group#0011,EN-Alto-1,rolling in the deep,Glissando_Group,positive_mix,clear_mix,0.306894,0.093106
English#EN-Alto-1#Mixed_Voice_and_Falsetto#all is found#Mixed_Voice_Group#0003,EN-Alto-1,all is found,Mixed_Voice_Group,positive_mix,clear_mix,0.305144,0.094856
English#EN-Alto-1#Mixed_Voice_and_Falsetto#big big world#Mixed_Voice_Group#0003,EN-Alto-1,big big world,Mixed_Voice_Group,positive_mix,clear_mix,0.305122,0.094878
English#EN-Alto-1#Pharyngeal#who says#Control_Group#0002,EN-Alto-1,who says,Control_Group,positive_mix,clear_mix,0.304719,0.095281
English#EN-Alto-1#Glissando#for the first time in forever#Glissando_Group#0003,EN-Alto-1,for the first time in forever,Glissando_Group,positive_mix,clear_mix,0.304477,0.095523
English#EN-Alto-1#Breathy#sleepyhead#Control_Group#0008,EN-Alto-1,sleepyhead,Control_Group,positive_mix,clear_mix,0.304177,0.095823
English#EN-Alto-1#Pharyngeal#clouds#Control_Group#0007,EN-Alto-1,clouds,Control_Group,positive_mix,clear_mix,0.302452,0.097548
English#EN-Alto-1#Pharyngeal#monsters#Control_Group#0002,EN-Alto-1,monsters,Control_Group,positive_mix,clear_mix,0.302027,0.097973
English#EN-Alto-1#Breathy#treasure#Breathy_Group#0008,EN-Alto-1,treasure,Breathy_Group,positive_mix,clear_mix,0.301747,0.098253
English#EN-Alto-1#Glissando#trouble is a friend#Glissando_Group#0013,EN-Alto-1,trouble is a friend,Glissando_Group,positive_mix,clear_mix,0.298773,0.101227
English#EN-Alto-1#Breathy#someday or oneday#Breathy_Group#0001,EN-Alto-1,someday or oneday,Breathy_Group,positive_mix,clear_mix,0.298537,0.101463
English#EN-Alto-1#Pharyngeal#monsters#Control_Group#0011,EN-Alto-1,monsters,Control_Group,positive_mix,clear_mix,0.298259,0.101741
English#EN-Alto-1#Breathy#who says#Control_Group#0006,EN-Alto-1,who says,Control_Group,positive_mix,breathy_mix,0.296987,0.103013
English#EN-Alto-1#Vibrato#my heart will go on#Control_Group#0005,EN-Alto-1,my heart will go on,Control_Group,positive_mix,clear_mix,0.296853,0.103147
English#EN-Alto-1#Breathy#god is a girl#Control_Group#0002,EN-Alto-1,god is a girl,Control_Group,positive_mix,clear_mix,0.295717,0.104283
English#EN-Alto-1#Vibrato#edelweiss#Vibrato_Group#0001,EN-Alto-1,edelweiss,Vibrato_Group,positive_mix,clear_mix,0.295242,0.104758
English#EN-Alto-1#Glissando#trouble is a friend#Control_Group#0004,EN-Alto-1,trouble is a friend,Control_Group,positive_mix,clear_mix,0.294165,0.105835
English#EN-Alto-1#Mixed_Voice_and_Falsetto#all is found#Mixed_Voice_Group#0005,EN-Alto-1,all is found,Mixed_Voice_Group,positive_mix,clear_mix,0.29335,0.10665
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Mixed_Voice_Group#0007,EN-Alto-1,you raise me up,Mixed_Voice_Group,positive_mix,clear_mix,0.292742,0.107258
English#EN-Alto-1#Glissando#tell me that you love me#Control_Group#0003,EN-Alto-1,tell me that you love me,Control_Group,positive_mix,clear_mix,0.290126,0.109874
English#EN-Alto-1#Mixed_Voice_and_Falsetto#Arriety's song#Mixed_Voice_Group#0008,EN-Alto-1,Arriety's song,Mixed_Voice_Group,positive_mix,clear_mix,0.290022,0.109978
English#EN-Alto-1#Breathy#all is found#Control_Group#0000,EN-Alto-1,all is found,Control_Group,positive_mix,clear_mix,0.289142,0.110858
English#EN-Alto-1#Pharyngeal#somewhere over the rainbow#Control_Group#0007,EN-Alto-1,somewhere over the rainbow,Control_Group,positive_mix,clear_mix,0.287959,0.112041
English#EN-Alto-1#Vibrato#if you love me for me#Control_Group#0002,EN-Alto-1,if you love me for me,Control_Group,positive_mix,clear_mix,0.287579,0.112421
English#EN-Alto-1#Pharyngeal#who says#Pharyngeal_Group#0002,EN-Alto-1,who says,Pharyngeal_Group,positive_mix,clear_mix,0.2837,0.1163
English#EN-Alto-1#Glissando#rolling in the deep#Control_Group#0003,EN-Alto-1,rolling in the deep,Control_Group,positive_mix,clear_mix,0.282648,0.117352
English#EN-Alto-1#Vibrato#my heart will go on#Control_Group#0000,EN-Alto-1,my heart will go on,Control_Group,positive_mix,clear_mix,0.281906,0.118094
English#EN-Alto-1#Vibrato#my heart will go on#Control_Group#0006,EN-Alto-1,my heart will go on,Control_Group,positive_mix,clear_mix,0.28108,0.11892
English#EN-Alto-1#Breathy#treasure#Breathy_Group#0005,EN-Alto-1,treasure,Breathy_Group,positive_mix,clear_mix,0.279745,0.120255
English#EN-Alto-1#Glissando#make it shine#Glissando_Group#0007,EN-Alto-1,make it shine,Glissando_Group,positive_mix,clear_mix,0.279067,0.120933
English#EN-Alto-1#Glissando#tell me that you love me#Glissando_Group#0013,EN-Alto-1,tell me that you love me,Glissando_Group,positive_mix,clear_mix,0.276723,0.123277
English#EN-Alto-1#Pharyngeal#beauty and the beast#Pharyngeal_Group#0008,EN-Alto-1,beauty and the beast,Pharyngeal_Group,positive_mix,clear_mix,0.276587,0.123413
English#EN-Alto-1#Breathy#who says#Breathy_Group#0003,EN-Alto-1,who says,Breathy_Group,positive_mix,breathy_mix,0.276048,0.123952
English#EN-Alto-1#Pharyngeal#beauty and the beast#Control_Group#0010,EN-Alto-1,beauty and the beast,Control_Group,positive_mix,clear_mix,0.275785,0.124215
English#EN-Alto-1#Pharyngeal#love stroy#Control_Group#0006,EN-Alto-1,love stroy,Control_Group,positive_mix,clear_mix,0.275763,0.124237
English#EN-Alto-1#Mixed_Voice_and_Falsetto#all is found#Falsetto_Group#0003,EN-Alto-1,all is found,Falsetto_Group,positive_mix,head_mix,0.272312,0.127688
English#EN-Alto-1#Glissando#for the first time in forever#Control_Group#0011,EN-Alto-1,for the first time in forever,Control_Group,positive_mix,clear_mix,0.272168,0.127832
English#EN-Alto-1#Vibrato#memory#Vibrato_Group#0013,EN-Alto-1,memory,Vibrato_Group,positive_mix,clear_mix,0.271704,0.128296
English#EN-Alto-1#Glissando#rolling in the deep#Control_Group#0002,EN-Alto-1,rolling in the deep,Control_Group,positive_mix,clear_mix,0.269857,0.130143
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Mixed_Voice_Group#0005,EN-Alto-1,you raise me up,Mixed_Voice_Group,positive_mix,clear_mix,0.269844,0.130156
English#EN-Alto-1#Vibrato#memory#Vibrato_Group#0006,EN-Alto-1,memory,Vibrato_Group,positive_mix,clear_mix,0.269539,0.130461
English#EN-Alto-1#Vibrato#if you love me for me#Vibrato_Group#0009,EN-Alto-1,if you love me for me,Vibrato_Group,positive_mix,clear_mix,0.269195,0.130805
English#EN-Alto-1#Vibrato#if you love me for me#Control_Group#0006,EN-Alto-1,if you love me for me,Control_Group,positive_mix,clear_mix,0.268831,0.131169
English#EN-Alto-1#Mixed_Voice_and_Falsetto#all is found#Mixed_Voice_Group#0001,EN-Alto-1,all is found,Mixed_Voice_Group,positive_mix,clear_mix,0.268434,0.131566
English#EN-Alto-2#Vibrato#What Are Words#Vibrato_Group#0003,EN-Alto-2,What Are Words,Vibrato_Group,positive_mix,clear_mix,0.267663,0.132337
English#EN-Alto-1#Vibrato#my heart will go on#Vibrato_Group#0002,EN-Alto-1,my heart will go on,Vibrato_Group,positive_mix,clear_mix,0.266716,0.133284
English#EN-Alto-1#Breathy#let it go#Breathy_Group#0004,EN-Alto-1,let it go,Breathy_Group,positive_mix,clear_mix,0.265765,0.134235
English#EN-Alto-1#Glissando#for the first time in forever#Control_Group#0008,EN-Alto-1,for the first time in forever,Control_Group,positive_mix,clear_mix,0.265485,0.134515
English#EN-Alto-1#Breathy#someday or oneday#Breathy_Group#0000,EN-Alto-1,someday or oneday,Breathy_Group,positive_mix,clear_mix,0.265453,0.134547
English#EN-Alto-1#Glissando#tell me that you love me#Glissando_Group#0004,EN-Alto-1,tell me that you love me,Glissando_Group,positive_mix,clear_mix,0.263179,0.136821
