item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,increment_repeat_index,increment_repeat_count,mined_mix_prob,mined_device,mined_selection_role,mined_rank,mined_pool_size
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#过火#Mixed_Voice_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\过火\Mixed_Voice_Group\0002.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/过火/Mixed_Voice_Group/0002.wav,Chinese,ZH-Tenor-1,过火,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,,,0.111951,cuda,hard_positive,11,36
Chinese#ZH-Alto-1#Pharyngeal#默#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\默\Control_Group\0000.wav,Chinese/ZH-Alto-1/Pharyngeal/默/Control_Group/0000.wav,Chinese,ZH-Alto-1,默,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,,,0.127586,cuda,hard_positive,12,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#匆匆那年#Mixed_Voice_Group#0017,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\匆匆那年\Mixed_Voice_Group\0017.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/匆匆那年/Mixed_Voice_Group/0017.wav,Chinese,ZH-Alto-1,匆匆那年,Mixed_Voice_Group,1,1,0,1,1,0,1,head_mix,110110,positive_mix,,,0.128489,cuda,hard_positive,13,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#剑伤#Falsetto_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\剑伤\Falsetto_Group\0004.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/剑伤/Falsetto_Group/0004.wav,Chinese,ZH-Alto-1,剑伤,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.131469,cuda,hard_positive,14,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#桃花诺#Mixed_Voice_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\桃花诺\Mixed_Voice_Group\0003.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/桃花诺/Mixed_Voice_Group/0003.wav,Chinese,ZH-Alto-1,桃花诺,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,,,0.134299,cuda,hard_positive,15,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#匆匆那年#Falsetto_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\匆匆那年\Falsetto_Group\0008.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/匆匆那年/Falsetto_Group/0008.wav,Chinese,ZH-Alto-1,匆匆那年,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.141847,cuda,hard_positive,16,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#平凡之路#Mixed_Voice_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\平凡之路\Mixed_Voice_Group\0000.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/平凡之路/Mixed_Voice_Group/0000.wav,Chinese,ZH-Tenor-1,平凡之路,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,,,0.151115,cuda,hard_positive,17,36
English#EN-Alto-1#Breathy#let it go#Breathy_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Breathy\let it go\Breathy_Group\0000.wav,English/EN-Alto-1/Breathy/let it go/Breathy_Group/0000.wav,English,EN-Alto-1,let it go,Breathy_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,1,1,0.156454,cuda,hard_positive,18,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#全世界谁倾听你#Mixed_Voice_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\全世界谁倾听你\Mixed_Voice_Group\0003.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/全世界谁倾听你/Mixed_Voice_Group/0003.wav,Chinese,ZH-Tenor-1,全世界谁倾听你,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,,,0.169048,cuda,hard_positive,19,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#给电影人的情书#Falsetto_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\给电影人的情书\Falsetto_Group\0000.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/给电影人的情书/Falsetto_Group/0000.wav,Chinese,ZH-Alto-1,给电影人的情书,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.171028,cuda,hard_positive,20,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#桃花诺#Mixed_Voice_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\桃花诺\Mixed_Voice_Group\0002.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/桃花诺/Mixed_Voice_Group/0002.wav,Chinese,ZH-Alto-1,桃花诺,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,,,0.174130,cuda,hard_positive,21,36
English#EN-Alto-1#Breathy#innocence#Breathy_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Breathy\innocence\Breathy_Group\0005.wav,English/EN-Alto-1/Breathy/innocence/Breathy_Group/0005.wav,English,EN-Alto-1,innocence,Breathy_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,1,1,0.176894,cuda,hard_positive,22,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Mixed_Voice_Group#0012,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\you raise me up\Mixed_Voice_Group\0012.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/you raise me up/Mixed_Voice_Group/0012.wav,English,EN-Alto-1,you raise me up,Mixed_Voice_Group,1,0,0,1,1,0,1,clear_mix,100110,positive_mix,1,1,0.181366,cuda,hard_positive,23,36
English#EN-Alto-1#Breathy#all is found#Breathy_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Breathy\all is found\Breathy_Group\0005.wav,English/EN-Alto-1/Breathy/all is found/Breathy_Group/0005.wav,English,EN-Alto-1,all is found,Breathy_Group,1,0,1,0,0,0,1,breathy_mix,101000,positive_mix,1,1,0.203786,cuda,hard_positive,24,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#老男孩#Falsetto_Group#0018,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\老男孩\Falsetto_Group\0018.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/老男孩/Falsetto_Group/0018.wav,Chinese,ZH-Tenor-1,老男孩,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,,,0.206913,cuda,hard_positive,25,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#走马#Mixed_Voice_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\走马\Mixed_Voice_Group\0007.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/走马/Mixed_Voice_Group/0007.wav,Chinese,ZH-Tenor-1,走马,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,,,0.217111,cuda,hard_positive,26,36
English#EN-Alto-1#Breathy#safe and sound#Breathy_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Breathy\safe and sound\Breathy_Group\0009.wav,English/EN-Alto-1/Breathy/safe and sound/Breathy_Group/0009.wav,English,EN-Alto-1,safe and sound,Breathy_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,1,1,0.240367,cuda,hard_positive,27,36
English#EN-Alto-1#Glissando#for the first time in forever#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Glissando\for the first time in forever\Control_Group\0003.wav,English/EN-Alto-1/Glissando/for the first time in forever/Control_Group/0003.wav,English,EN-Alto-1,for the first time in forever,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,1,1,0.241155,cuda,hard_positive,28,36
English#EN-Alto-1#Breathy#all is found#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Breathy\all is found\Control_Group\0000.wav,English/EN-Alto-1/Breathy/all is found/Control_Group/0000.wav,English,EN-Alto-1,all is found,Control_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,1,1,0.244136,cuda,hard_positive,29,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#过火#Mixed_Voice_Group#0013,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\过火\Mixed_Voice_Group\0013.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/过火/Mixed_Voice_Group/0013.wav,Chinese,ZH-Tenor-1,过火,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,,,0.246085,cuda,hard_positive,30,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Mixed_Voice_Group#0014,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\how does a moment last forever\Mixed_Voice_Group\0014.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/how does a moment last forever/Mixed_Voice_Group/0014.wav,English,EN-Alto-1,how does a moment last forever,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,1,1,0.279411,cuda,hard_positive,31,36
English#EN-Alto-1#Glissando#for the first time in forever#Glissando_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Glissando\for the first time in forever\Glissando_Group\0003.wav,English/EN-Alto-1/Glissando/for the first time in forever/Glissando_Group/0003.wav,English,EN-Alto-1,for the first time in forever,Glissando_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,1,1,0.281347,cuda,hard_positive,32,36
English#EN-Alto-1#Glissando#tell me that you love me#Control_Group#0014,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Glissando\tell me that you love me\Control_Group\0014.wav,English/EN-Alto-1/Glissando/tell me that you love me/Control_Group/0014.wav,English,EN-Alto-1,tell me that you love me,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,1,1,0.284431,cuda,hard_positive,33,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#Arriety's song#Mixed_Voice_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\Arriety's song\Mixed_Voice_Group\0006.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/Arriety's song/Mixed_Voice_Group/0006.wav,English,EN-Alto-1,Arriety's song,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,1,1,0.297651,cuda,hard_positive,34,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#江南#Mixed_Voice_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\江南\Mixed_Voice_Group\0007.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/江南/Mixed_Voice_Group/0007.wav,Chinese,ZH-Tenor-1,江南,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,,,0.307385,cuda,hard_positive,35,36
Chinese#ZH-Tenor-1#Pharyngeal#亲爱的那不是爱情#Pharyngeal_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Pharyngeal\亲爱的那不是爱情\Pharyngeal_Group\0003.wav,Chinese/ZH-Tenor-1/Pharyngeal/亲爱的那不是爱情/Pharyngeal_Group/0003.wav,Chinese,ZH-Tenor-1,亲爱的那不是爱情,Pharyngeal_Group,1,1,0,0,1,1,1,head_mix,110011,positive_mix,,,0.312513,cuda,hard_positive,36,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\let it go\Control_Group\0005.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/let it go/Control_Group/0005.wav,English,EN-Alto-1,let it go,Control_Group,0,0,0,0,0,0,0,non_mix,000000,control_negative,1,1,0.878255,cuda,hard_negative,1,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可乐#Control_Group#0015,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Control_Group\0015.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可乐/Control_Group/0015.wav,Chinese,ZH-Alto-1,可乐,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.877950,cuda,hard_negative,2,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#la vie en rose#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\la vie en rose\Control_Group\0002.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/la vie en rose/Control_Group/0002.wav,English,EN-Alto-1,la vie en rose,Control_Group,0,0,0,0,0,0,0,non_mix,000000,control_negative,1,1,0.877688,cuda,hard_negative,3,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#曹操#Falsetto_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\曹操\Falsetto_Group\0002.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/曹操/Falsetto_Group/0002.wav,Chinese,ZH-Tenor-1,曹操,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,,,0.861163,cuda,hard_negative,4,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Control_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\how does a moment last forever\Control_Group\0010.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/how does a moment last forever/Control_Group/0010.wav,English,EN-Alto-1,how does a moment last forever,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.857235,cuda,hard_negative,5,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Control_Group#0017,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\let it go\Control_Group\0017.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/let it go/Control_Group/0017.wav,English,EN-Alto-1,let it go,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.845801,cuda,hard_negative,6,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\you raise me up\Control_Group\0000.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/you raise me up/Control_Group/0000.wav,English,EN-Alto-1,you raise me up,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.838658,cuda,hard_negative,7,36
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可乐#Control_Group#0014,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Control_Group\0014.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可乐/Control_Group/0014.wav,Chinese,ZH-Alto-1,可乐,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.823046,cuda,hard_negative,8,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Control_Group#0018,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\yesterday once more\Control_Group\0018.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/yesterday once more/Control_Group/0018.wav,English,EN-Alto-1,yesterday once more,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.819678,cuda,hard_negative,9,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\how does a moment last forever\Control_Group\0003.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/how does a moment last forever/Control_Group/0003.wav,English,EN-Alto-1,how does a moment last forever,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.809849,cuda,hard_negative,10,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#you raise me up#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\you raise me up\Control_Group\0002.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/you raise me up/Control_Group/0002.wav,English,EN-Alto-1,you raise me up,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.807392,cuda,hard_negative,11,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#all is found#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\all is found\Control_Group\0000.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/all is found/Control_Group/0000.wav,English,EN-Alto-1,all is found,Control_Group,0,0,0,0,0,0,0,non_mix,000000,control_negative,1,1,0.806004,cuda,hard_negative,12,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#Arriety's song#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\Arriety's song\Control_Group\0008.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/Arriety's song/Control_Group/0008.wav,English,EN-Alto-1,Arriety's song,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.802058,cuda,hard_negative,13,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Control_Group#0017,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\yesterday once more\Control_Group\0017.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/yesterday once more/Control_Group/0017.wav,English,EN-Alto-1,yesterday once more,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,1,1,0.801706,cuda,hard_negative,14,36
English#EN-Alto-1#Mixed_Voice_and_Falsetto#la vie en rose#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-1\Mixed_Voice_and_Falsetto\la vie en rose\Control_Group\0003.wav,English/EN-Alto-1/Mixed_Voice_and_Falsetto/la vie en rose/Control_Group/0003.wav,English,EN-Alto-1,la vie en rose,Control_Group,0,0,0,0,0,0,0,non_mix,000000,control_negative,1,1,0.795540,cuda,hard_negative,15,36
Chinese#ZH-Alto-1#Vibrato#多远都要在一起#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\多远都要在一起\Control_Group\0002.wav,Chinese/ZH-Alto-1/Vibrato/多远都要在一起/Control_Group/0002.wav,Chinese,ZH-Alto-1,多远都要在一起,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,,,0.780593,cuda,hard_negative,16,36
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#修炼爱情#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\修炼爱情\Control_Group\0002.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/修炼爱情/Control_Group/0002.wav,Chinese,ZH-Tenor-1,修炼爱情,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,,,0.768472,cuda,hard_negative,17,36
